trend,tfidf
минимальный цена игристый,1.0
бюджет предстоящий трехлетка,1.0
газ нефть ограничение,1.0
выгода россия конфликт,1.0
business standard россия,1.0
ввести санкция табачный,1.0
аналитик дать прогноз,1.0
запас зимний шина,1.0
sz германия дойти,1.0
ключ победа коллективный,1.0
океан почему перевозчик,1.0
bloomberg сообщить переговоры,1.0
долларовый санкция сша,1.0
выдача экспортный кредит,1.0
ес согласовать введение,1.0
еврокомиссия предложить страна,1.0
атака « северный,1.0
азербайджан обмен электроэнергия,1.0
« человек пить,1.0
выйти оборот регион,1.0
директива недопустимость рост,1.0
белоусов допустить экспортный,1.0
объявить повышение ставка,1.0
россия снизиться уровень,1.0
годовой инфляция россия замедлиться,1.0
введение потолок цена российский газ,1.0
100 рубль килограмм,1.0
газовый прибор отопление,1.0
« переводить »,1.0
резко подорожать сыр,1.0
донбасс это крупный,1.0
банкротство спасение выход,1.0
мишустин заинтересовать джулия,1.0
готовиться резкий сокращение,0.408248290463863
ес обязательный экономия,0.408248290463863
дешевый картошка овощ,0.408248290463863
20 40 2025,0.408248290463863
бесплатно передать нуждаться,0.408248290463863
заявить неизбежность процесс,0.408248290463863
запад удаться исключить,0.408248290463863
ек предлагать изымать,0.408248290463863
2022 год 50,0.408248290463863
ft производитель сланцевый,0.408248290463863
дефляция россия замедлиться,0.408248290463863
налоговый информация россия,0.25819888974716104
"i квартал 27,5",0.25819888974716104
взрыв причина утечка,0.25819888974716104
минимум январь фон,0.25819888974716104
wsj стратегический запас,0.25819888974716104
беспошлинный импорт говядина,0.25819888974716104
бакалейный товар бензин,0.25819888974716104
